date,time,close,high,low,open
19-11-2019,15:25:00,11955.65,11958.65,11953.6,11956.15
20-11-2019,09:15:00,11981.05,12004.75,11968,12004.75
20-11-2019,09:25:00,11984.3,11989.6,11978.75,11981.4
20-11-2019,09:35:00,11977.95,11990.6,11975.8,11984.85
20-11-2019,09:45:00,11987.2,11988.55,11975.85,11977.1
20-11-2019,09:55:00,12009.1,12015.85,11985.45,11987
20-11-2019,10:05:00,12014.55,12015.1,12003.55,12009.45
20-11-2019,10:15:00,12016.7,12021.35,12011.65,12014.7
20-11-2019,10:25:00,12021.35,12022.75,12014.7,12016.6
20-11-2019,10:35:00,12028,12031.15,12020.6,12021.15
20-11-2019,10:45:00,12034.35,12035.35,12025.3,12027.65
20-11-2019,10:55:00,12025,12038.5,12024.1,12034.65
20-11-2019,11:05:00,12017.8,12025.15,12016.05,12025.15
20-11-2019,11:15:00,12014.3,12021.95,12013.6,12017.45
20-11-2019,11:25:00,12019.55,12020.5,12013.7,12013.85
20-11-2019,11:35:00,12021.3,12022.35,12017.25,12019.45
20-11-2019,11:45:00,12024.9,12025.7,12019.95,12021.2
20-11-2019,11:55:00,12020.8,12025.75,12019.9,12024.85
20-11-2019,12:05:00,12027.7,12027.7,12020.45,12020.45
20-11-2019,12:15:00,12027.2,12031.6,12025.05,12027.9
20-11-2019,12:25:00,12023.9,12030.4,12023.25,12027.7
20-11-2019,12:35:00,12027.15,12029.5,12023.3,12024.15
20-11-2019,12:45:00,12024.35,12027.95,12023.7,12027.5
20-11-2019,12:55:00,12029.55,12032.7,12021.6,12024.7
20-11-2019,13:05:00,12024.95,12038.5,12017.8,12029.55
20-11-2019,13:15:00,12014.1,12026.55,12011.05,12024.6
20-11-2019,13:25:00,12003.65,12015.25,12000.85,12013.95
20-11-2019,13:35:00,12003.25,12005.25,11988.2,12003.55
20-11-2019,13:45:00,12001.7,12012.45,12001.5,12002.8
20-11-2019,13:55:00,12004.4,12005.15,11994.15,12001.7
20-11-2019,14:05:00,12001.55,12010.1,11999.2,12004.4
20-11-2019,14:15:00,11994.5,12002.45,11988.7,12000.6
20-11-2019,14:25:00,12000.55,12004.1,11988.35,11994
20-11-2019,14:35:00,11987.1,12001,11987.05,11999.55
20-11-2019,14:45:00,11994.55,11994.75,11979.15,11987.35
20-11-2019,14:55:00,12006.5,12010.9,11989.9,11994.85
20-11-2019,15:05:00,12000.9,12008.5,11995.15,12006.25
20-11-2019,15:15:00,11990.45,12004.05,11987.5,12000.9
20-11-2019,15:25:00,11993.45,11994.8,11987.7,11990.2
21-11-2019,09:15:00,11988.55,12025.9,11982.7,12025.65
21-11-2019,09:25:00,11986.7,11992.45,11980.45,11987.85
21-11-2019,09:35:00,11996.75,11998.9,11978.75,11986.4
21-11-2019,09:45:00,11997.65,12005.85,11994.3,11996.35
21-11-2019,09:55:00,11992.25,11997.95,11987.4,11997.4
21-11-2019,10:05:00,11988.5,11995.85,11987.7,11992.4
21-11-2019,10:15:00,11979.3,11991.65,11975.4,11988.8
21-11-2019,10:25:00,11978.95,11983.45,11976.8,11979.25
21-11-2019,10:35:00,11975.85,11984.35,11975.7,11978.6
21-11-2019,10:45:00,11967.55,11976.9,11965.8,11975.6
21-11-2019,10:55:00,11970.95,11976.05,11967.25,11967.75
21-11-2019,11:05:00,11974.15,11984.6,11970.05,11971.1
21-11-2019,11:15:00,11974.3,11975.65,11969.05,11973.35
21-11-2019,11:25:00,11975.6,11982.4,11973.45,11974.5
21-11-2019,11:35:00,11972.6,11979,11971.7,11975.7
21-11-2019,11:45:00,11985.2,11988.2,11972.05,11972.75
21-11-2019,11:55:00,11987.7,11992.45,11984.4,11985.05
21-11-2019,12:05:00,11993.1,11999.25,11987.2,11987.75
21-11-2019,12:15:00,11995.85,11998.85,11988.4,11992.95
21-11-2019,12:25:00,11991.8,12006.65,11990,11994.9
21-11-2019,12:35:00,11995.1,11998.7,11987.05,11991.5
21-11-2019,12:45:00,11994.75,11999.25,11990.75,11994.85
21-11-2019,12:55:00,11997.65,12001.05,11993.3,11994.9
21-11-2019,13:05:00,12004.25,12008.05,11997.55,11997.9
21-11-2019,13:15:00,12004.9,12009.5,12002.15,12003.9
21-11-2019,13:25:00,11996.75,12004.75,11987.1,12004.75
21-11-2019,13:35:00,11988.6,11998.1,11985.25,11996.6
21-11-2019,13:45:00,11996.85,11997.1,11987.45,11988.15
21-11-2019,13:55:00,12001.35,12003.95,11991.85,11996.45
21-11-2019,14:05:00,11988.4,12001.85,11980.75,12000.9
21-11-2019,14:15:00,11993.75,11995.65,11986.75,11988.05
21-11-2019,14:25:00,12005.55,12007.05,11988.8,11992.5
21-11-2019,14:35:00,11994.4,12006.3,11994.4,12005.25
21-11-2019,14:45:00,11982.4,11998.45,11980.75,11994.15
21-11-2019,14:55:00,11967.9,11982.75,11967.2,11982.75
21-11-2019,15:05:00,11970.15,11974.85,11957.15,11967.9
21-11-2019,15:15:00,11966.6,11972.3,11962.65,11970.7
21-11-2019,15:25:00,11964.05,11970.7,11962.55,11966.95
22-11-2019,09:15:00,11963.05,11967.3,11945.45,11967.3
22-11-2019,09:25:00,11954.3,11963.6,11940.65,11961.8
22-11-2019,09:35:00,11944.35,11954.5,11942.95,11953.75
22-11-2019,09:45:00,11936.75,11944.15,11933.05,11943.4
22-11-2019,09:55:00,11944.15,11949.3,11934.85,11937.15
22-11-2019,10:05:00,11929.05,11945.15,11925.9,11943.9
22-11-2019,10:15:00,11928.5,11930.95,11916.5,11928.45
22-11-2019,10:25:00,11928.9,11931.5,11920.8,11928.55
22-11-2019,10:35:00,11934.2,11937.8,11927.7,11928.4
22-11-2019,10:45:00,11937.8,11938.2,11928.1,11934
22-11-2019,10:55:00,11943.3,11943.5,11937.1,11937.45
22-11-2019,11:05:00,11933.35,11944.5,11929.4,11943.05
22-11-2019,11:15:00,11920.75,11934.6,11917.05,11933.2
22-11-2019,11:25:00,11899.65,11924.45,11890.55,11920.8
22-11-2019,11:35:00,11903.8,11907.25,11886.05,11899.8
22-11-2019,11:45:00,11906.9,11909.95,11902.65,11904.7
22-11-2019,11:55:00,11899.45,11907.6,11897.6,11906.5
22-11-2019,12:05:00,11901.7,11906.2,11898.95,11898.95
22-11-2019,12:15:00,11906.25,11908.9,11899.75,11901.65
22-11-2019,12:25:00,11903,11909,11900.8,11906.25
22-11-2019,12:35:00,11896.05,11902.8,11892.85,11902.8
22-11-2019,12:45:00,11901.3,11907.1,11895.3,11896
22-11-2019,12:55:00,11902.25,11903.65,11897.8,11901.15
22-11-2019,13:05:00,11890.65,11902.2,11883.6,11902.15
22-11-2019,13:15:00,11901.1,11905.35,11889.6,11890.35
22-11-2019,13:25:00,11906.1,11909,11899,11900.75
22-11-2019,13:35:00,11900.55,11914.9,11900.2,11905.65
22-11-2019,13:45:00,11905.8,11911.1,11901.45,11901.45
22-11-2019,13:55:00,11918.55,11921.45,11901.3,11904.3
22-11-2019,14:05:00,11909.35,11920.9,11909.35,11917.85
22-11-2019,14:15:00,11907.55,11915.45,11901.85,11909.5
22-11-2019,14:25:00,11910.25,11916.15,11905.8,11907.7
